year,month,sstarc
1928,7,-0.632380499
1928,8,-0.962588626
1928,9,-1.02343479
1928,10,-0.788710675
1928,11,-0.599678507
1928,12,-0.605504238
1929,1,-0.30683383
1929,2,-0.15038631
1929,3,-0.39203945
1929,4,-0.378029265
1929,5,-0.220726557
1929,6,-0.140885305
1929,7,-0.093439704
1929,8,-0.095348151
1929,9,-0.182709628
1929,10,-0.227778921
1929,11,-0.135198037
1929,12,0.186595671
1930,1,0.205266537
1930,2,-0.187620564
1930,3,-0.313324031
1930,4,-0.070671821
1930,5,-0.411146533
1930,6,-0.455253867
1930,7,-0.533113779
1930,8,-0.174502167
1930,9,0.248944345
1930,10,-0.041566961
1930,11,-0.11725164
1930,12,-0.100560111
1931,1,-0.035479435
1931,2,-0.059009602
1931,3,-0.027910606
1931,4,-0.20072458
1931,5,0.105266024
1931,6,0.194862696
1931,7,-0.10091536
1931,8,-0.053400395
1931,9,-0.013636027
1931,10,-0.291990588
1931,11,-0.439556202
1931,12,-0.60569392
1932,1,-0.691068195
1932,2,-0.776463544
1932,3,-0.586618039
1932,4,-0.470473564
1932,5,-0.590565429
1932,6,-0.786060757
1932,7,-1.016653262
1932,8,-1.129875029
1932,9,-1.176521443
1932,10,-0.645959831
1932,11,-0.506022537
1932,12,-0.415031972
1933,1,-0.532765133
1933,2,-0.81997482
1933,3,-0.817444966
1933,4,-0.776670911
1933,5,-1.263563323
1933,6,-1.160017665
1933,7,-1.584931898
1933,8,-1.360919865
1933,9,-1.596408719
1933,10,-1.239520288
1933,11,-0.649047327
1933,12,-0.63175428
1934,1,-0.654937718
1934,2,-0.085595796
1934,3,0.345518465
1934,4,0.367176955
1934,5,0.323009564
1934,6,0.072666012
1934,7,-0.132002317
1934,8,0.036987548
1934,9,-0.00309688
1934,10,-0.187814305
1934,11,0.043091173
1934,12,0.042434838
1935,1,-0.255018882
1935,2,-0.145606861
1935,3,-0.26559275
1935,4,0.040527947
1935,5,-0.070788036
1935,6,0.073030069
1935,7,-0.263546154
1935,8,-0.434115969
1935,9,-0.139834427
1935,10,0.210564141
1935,11,0.124649985
1935,12,0.293499515
1936,1,0.142168541
1936,2,0.270517311
1936,3,0.302554844
1936,4,0.479659027
1936,5,0.519440789
1936,6,0.90067456
1936,7,0.870776469
1936,8,0.736802285
1936,9,0.415997166
1936,10,0.628657351
1936,11,0.778751224
1936,12,0.569628935
1937,1,-0.198058575
1937,2,-0.115401393
1937,3,-0.043254601
1937,4,-0.066714637
1937,5,-0.171776169
1937,6,0.184651021
1937,7,-0.056966477
1937,8,-0.218579144
1937,9,0.105117696
1937,10,0.244322446
1937,11,0.43245536
